sensor_log_key,shipment_id,shipment_key,total_readings,missing_readings,offline_readings,avg_temperature_c,min_temperature_c,max_temperature_c,stddev_temperature_c,excursion_records,avg_battery_level,avg_signal_strength
326,SHP0475,475,57,0,0,5.012,4.17,5.71,0.369,,83.2,86.77
327,SHP0427,427,31,1,4,5.92,4.3,16.68,2.596,,84.33,73.35
328,SHP0192,192,67,0,0,5.024,3.74,5.88,0.446,,85.18,84.34
329,SHP0091,91,49,0,0,4.89,4.13,5.82,0.39,,85.74,83.65
330,SHP0326,326,69,0,0,-20.728,-21.83,-15.07,1.245,,81.5,83.42
331,SHP0447,447,70,0,0,4.897,4.05,5.87,0.332,,85.68,86.39
332,SHP0163,163,25,0,0,-20.918,-21.47,-20.37,0.347,,86.33,85.6
333,SHP0181,181,43,0,0,4.954,4.05,5.96,0.443,,85.43,85.02
334,SHP0072,72,21,0,0,4.968,4.24,5.79,0.442,,82.56,83.19
335,SHP0287,287,17,0,0,5.068,4.25,5.69,0.476,,87.22,83.29
336,SHP0022,22,19,0,0,-19.988,-21.51,-15.6,1.885,,88.26,87.84
337,SHP0225,225,40,1,0,5.043,4.12,5.81,0.363,,84.23,85.18
338,SHP0165,165,48,0,0,4.966,4.35,6.41,0.417,,85.33,85.67
339,SHP0312,312,25,0,0,5.006,4.29,6.14,0.42,,86.41,82.8
340,SHP0433,433,46,0,0,-20.969,-21.53,-20.07,0.328,,82.42,85.96
341,SHP0078,78,41,0,0,-21.05,-21.75,-20.09,0.417,,85.15,84.24
342,SHP0499,499,46,0,4,5.092,3.89,5.97,0.488,,84.95,75.39
343,SHP0306,306,68,0,0,-20.726,-21.98,-2.91,2.226,,87.72,83.63
344,SHP0425,425,68,0,0,5.007,3.8,5.84,0.394,,83.09,85.6
345,SHP0445,445,39,0,0,-20.936,-21.86,-19.93,0.44,,84.07,83.87
346,SHP0259,259,32,0,0,-21.035,-21.59,-20.24,0.362,,84.75,85.66
347,SHP0061,61,72,0,0,5.031,4.36,5.7,0.333,,83.2,85.19
348,SHP0187,187,47,0,0,5.073,4.27,7.87,0.578,,83.78,86.34
349,SHP0451,451,21,1,0,4.942,4.24,5.78,0.376,,87.51,81.43
350,SHP0322,322,48,0,0,-21.072,-21.9,-20.45,0.335,,83.43,85.19
351,SHP0151,151,37,1,0,5.032,4.12,6.06,0.389,,82.26,84.76
352,SHP0264,264,65,0,0,-21.076,-22.29,-20.14,0.447,,84.04,84.8
353,SHP0310,310,36,0,0,4.985,4.3,5.57,0.333,,85.49,84.0
354,SHP0013,13,38,0,0,5.609,4.36,11.75,1.913,,84.85,83.97
355,SHP0355,355,35,0,0,4.968,4.17,5.71,0.38,,83.43,86.71
356,SHP0432,432,14,1,0,4.903,4.07,5.7,0.42,,84.9,86.5
357,SHP0342,342,35,0,0,-20.896,-21.7,-20.06,0.337,,84.22,85.14
358,SHP0441,441,61,0,0,-21.034,-21.74,-20.12,0.388,,82.64,85.52
359,SHP0145,145,55,0,0,4.927,0.23,6.0,0.767,,84.29,84.82
360,SHP0098,98,73,0,0,-21.013,-22.14,-19.87,0.411,,86.77,84.18
361,SHP0365,365,30,0,0,5.099,4.39,6.07,0.411,,87.13,87.0
362,SHP0352,352,66,0,0,4.959,2.06,5.92,0.551,,83.54,84.17
363,SHP0340,340,16,0,4,-20.917,-21.77,-20.04,0.467,,85.83,61.94
364,SHP0275,275,23,0,0,-21.135,-21.87,-20.22,0.427,,85.15,86.83
365,SHP0179,179,37,0,0,5.431,4.28,10.96,1.66,,83.66,86.92
366,SHP0316,316,57,0,0,5.067,4.3,5.94,0.413,,84.3,83.68
367,SHP0030,30,18,0,0,-20.826,-21.46,-20.35,0.341,,79.17,83.28
368,SHP0182,182,16,0,0,5.184,4.39,7.31,0.722,,90.17,85.13
369,SHP0330,330,32,0,0,-21.104,-21.95,-20.08,0.369,,83.72,87.13
370,SHP0405,405,14,0,0,5.011,4.48,5.58,0.367,,87.6,83.93
371,SHP0360,360,25,0,0,5.054,4.49,5.62,0.343,,85.65,87.8
372,SHP0334,334,49,0,0,5.067,3.82,6.31,0.421,,84.02,84.08
373,SHP0353,353,30,0,0,4.975,4.03,5.79,0.438,,85.69,84.7
374,SHP0052,52,51,0,0,5.415,3.79,11.23,1.508,,86.24,84.25
375,SHP0228,228,17,0,0,-21.132,-21.71,-20.53,0.351,,82.06,84.71
376,SHP0276,276,18,0,0,-20.977,-21.52,-20.36,0.317,,84.21,87.17
377,SHP0474,474,63,1,0,-20.99,-22.16,-19.56,0.447,,82.84,84.35
378,SHP0118,118,22,0,0,4.96,4.46,5.64,0.358,,83.41,84.64
379,SHP0392,392,36,0,0,-21.042,-21.9,-20.17,0.454,,82.83,85.72
380,SHP0028,28,37,0,0,5.026,3.86,5.67,0.403,,86.48,81.68
381,SHP0138,138,65,0,0,-21.052,-21.88,-20.16,0.354,,84.55,85.98
382,SHP0002,2,20,1,0,-21.118,-21.78,-20.26,0.376,,84.0,80.15
383,SHP0081,81,52,0,0,4.985,4.15,5.93,0.438,,83.09,85.27
384,SHP0258,258,54,0,0,-21.006,-21.61,-19.95,0.337,,84.72,86.89
385,SHP0226,226,30,0,0,-20.966,-21.5,-20.44,0.319,,85.43,86.43
386,SHP0144,144,14,0,0,5.047,4.51,5.64,0.332,,88.03,84.86
387,SHP0428,428,72,0,0,-21.021,-21.91,-20.43,0.341,,84.91,84.81
388,SHP0150,150,54,1,0,-20.715,-22.09,-15.37,1.292,,86.39,83.98
389,SHP0266,266,45,1,4,-21.046,-21.76,-20.32,0.324,,82.75,77.91
390,SHP0350,350,49,0,0,5.063,3.7,5.97,0.532,,84.95,84.94
391,SHP0319,319,51,0,0,5.068,4.13,6.37,0.472,,84.78,84.71
392,SHP0476,476,13,0,0,6.072,4.25,18.57,3.776,,87.56,84.46
393,SHP0140,140,17,0,0,-21.115,-21.89,-19.83,0.499,,87.62,82.12
394,SHP0280,280,70,0,0,5.013,3.84,5.75,0.391,,85.18,84.41
395,SHP0473,473,61,0,0,4.939,3.93,5.89,0.464,,85.86,84.43
396,SHP0314,314,20,0,0,-20.959,-21.81,-20.15,0.482,,87.27,85.6
397,SHP0402,402,16,0,0,5.186,4.23,5.76,0.378,,84.39,88.88
398,SHP0132,132,40,0,0,4.994,3.99,5.83,0.425,,82.51,85.95
399,SHP0079,79,38,0,0,-20.458,-21.81,-16.03,1.478,,85.14,82.63
400,SHP0343,343,64,0,0,4.983,3.87,5.96,0.402,,84.57,85.5
401,SHP0158,158,44,0,0,-20.959,-21.74,-20.14,0.407,,83.97,85.93
402,SHP0025,25,44,0,0,-20.602,-21.97,-3.3,2.697,,84.58,84.14
403,SHP0212,212,15,0,0,-20.919,-21.58,-20.3,0.372,,79.56,88.27
404,SHP0207,207,32,0,0,5.039,4.06,5.86,0.391,,80.38,84.28
405,SHP0124,124,18,0,0,-21.137,-21.78,-20.28,0.396,,84.41,84.78
406,SHP0246,246,37,1,0,5.051,4.46,5.82,0.344,,85.67,86.7
407,SHP0421,421,32,0,0,-20.48,-21.67,-15.43,1.601,,81.84,83.28
408,SHP0369,369,72,0,0,-20.942,-21.8,-19.85,0.403,,83.12,84.99
409,SHP0321,321,68,0,0,5.04,4.06,5.95,0.393,,85.09,85.09
410,SHP0400,400,33,0,0,5.055,4.23,5.87,0.429,,85.88,83.58
411,SHP0341,341,68,0,0,5.403,4.22,11.38,1.385,,83.92,85.26
412,SHP0049,49,63,0,4,-21.02,-21.79,-20.11,0.401,,83.83,80.63
413,SHP0155,155,55,0,0,4.857,3.95,5.6,0.39,,83.54,85.56
414,SHP0115,115,20,0,0,4.927,3.73,5.48,0.453,,83.62,87.15
415,SHP0058,58,57,0,0,4.914,-1.92,6.24,1.007,,85.69,84.18
416,SHP0477,477,70,0,0,4.947,3.72,5.8,0.426,,84.46,86.79
417,SHP0075,75,30,0,0,-21.049,-21.82,-20.3,0.368,,81.25,86.8
418,SHP0073,73,19,0,0,5.073,4.34,5.96,0.408,,84.41,85.84
419,SHP0278,278,43,0,0,-21.092,-21.96,-20.31,0.366,,87.25,88.0
420,SHP0223,223,28,0,4,-20.888,-21.67,-20.18,0.447,,86.32,74.36
421,SHP0483,483,63,0,0,4.966,4.08,5.93,0.409,,83.0,85.81
422,SHP0404,404,53,0,0,-21.022,-22.01,-20.01,0.395,,84.22,84.36
423,SHP0337,337,41,0,0,-21.023,-21.86,-20.09,0.397,,86.65,87.68
424,SHP0467,467,58,0,4,5.053,4.29,5.94,0.385,,83.08,80.22
425,SHP0090,90,30,1,0,-20.969,-21.93,-19.7,0.527,,84.85,84.83
426,SHP0311,311,54,0,0,4.938,4.11,5.86,0.402,,85.93,83.43
427,SHP0064,64,60,0,0,5.406,4.12,11.64,1.457,,83.61,85.35
428,SHP0407,407,41,0,0,-21.027,-22.1,-20.12,0.433,,85.69,86.2
429,SHP0484,484,18,0,0,5.053,4.64,5.83,0.268,,84.41,85.11
430,SHP0012,12,27,0,0,4.933,4.17,5.65,0.443,,86.38,84.07
431,SHP0440,440,52,0,4,-21.005,-22.1,-19.82,0.415,,86.45,79.77
432,SHP0437,437,54,1,0,4.948,4.2,5.74,0.365,,85.26,83.0
433,SHP0413,413,37,0,0,4.95,3.99,6.24,0.468,,88.66,84.81
434,SHP0488,488,64,0,0,5.002,3.98,5.82,0.42,,83.54,85.81
435,SHP0448,448,25,0,0,-20.981,-21.67,-20.39,0.367,,82.54,86.76
436,SHP0050,50,13,0,0,5.058,3.99,6.06,0.564,,87.36,88.69
437,SHP0194,194,71,0,0,-21.048,-21.96,-19.95,0.41,,85.67,85.75
438,SHP0191,191,32,0,0,5.068,4.21,5.86,0.426,,84.95,86.88
439,SHP0059,59,45,0,0,5.041,4.14,5.67,0.321,,84.61,82.58
440,SHP0309,309,38,0,0,-20.628,-22.11,-7.82,2.181,,88.49,85.16
441,SHP0471,471,55,0,0,-21.018,-22.15,-20.06,0.413,,83.69,84.78
442,SHP0106,106,31,1,0,5.656,4.0,11.01,1.831,,83.65,85.97
443,SHP0324,324,38,0,0,5.013,4.19,5.84,0.357,,85.38,85.92
444,SHP0394,394,18,0,0,5.105,4.56,5.79,0.366,,86.91,84.39
445,SHP0409,409,54,0,4,-20.994,-21.98,-20.01,0.418,,85.42,79.61
446,SHP0356,356,48,0,0,-20.934,-21.73,-20.38,0.313,,83.84,82.21
447,SHP0105,105,13,0,0,5.761,4.73,14.66,2.681,,86.33,82.92
448,SHP0486,486,13,0,0,4.98,4.4,5.67,0.338,,87.86,89.54
449,SHP0196,196,31,0,0,-20.467,-22.3,-7.93,2.365,,82.6,86.45
450,SHP0461,461,15,0,0,-21.037,-21.99,-19.83,0.529,,84.9,84.73
451,SHP0047,47,13,0,0,-19.781,-21.86,-3.72,4.839,,82.57,84.92
452,SHP0039,39,13,0,0,4.963,4.03,5.6,0.406,,81.2,82.46
453,SHP0399,399,18,1,0,-21.068,-21.79,-20.46,0.39,,82.83,84.33
454,SHP0452,452,27,0,0,4.916,4.23,6.08,0.476,,86.99,84.48
455,SHP0230,230,22,0,0,-21.061,-22.01,-20.22,0.411,,83.23,82.82
456,SHP0344,344,64,0,0,5.35,3.95,10.88,1.302,,84.91,86.33
457,SHP0184,184,64,0,0,-21.026,-22.48,-19.91,0.458,,84.27,85.19
458,SHP0439,439,40,0,0,5.149,4.24,13.01,1.323,,85.45,84.55
459,SHP0100,100,53,0,0,-21.073,-22.05,-20.06,0.38,,86.18,85.51
460,SHP0479,479,56,0,0,-20.966,-22.06,-20.14,0.418,,85.64,85.16
461,SHP0238,238,14,0,0,5.375,4.18,10.48,1.52,,82.35,82.5
462,SHP0363,363,71,0,0,4.954,3.55,5.84,0.412,,86.06,85.89
463,SHP0161,161,18,0,4,-21.005,-21.89,-20.42,0.463,,83.17,65.61
464,SHP0297,297,70,1,0,-20.951,-21.86,-19.82,0.421,,84.17,83.59
465,SHP0201,201,14,0,0,5.105,4.2,6.03,0.53,,85.33,89.07
466,SHP0035,35,72,0,0,-20.784,-22.04,-2.82,2.185,,84.37,84.96
467,SHP0015,15,65,0,0,5.346,4.01,11.32,1.381,,84.47,84.65
468,SHP0345,345,29,0,0,-21.037,-21.7,-20.42,0.356,,83.09,84.0
469,SHP0380,380,71,0,0,5.028,4.32,6.1,0.376,,86.21,85.03
470,SHP0215,215,23,0,0,5.045,4.19,5.5,0.311,,84.42,88.57
471,SHP0096,96,46,0,0,-20.918,-21.96,-19.74,0.461,,86.82,82.72
472,SHP0024,24,68,0,0,5.118,4.12,6.01,0.384,,85.75,82.97
473,SHP0087,87,49,0,0,4.972,4.21,5.82,0.343,,84.6,84.16
474,SHP0397,397,21,0,0,-20.944,-21.7,-20.37,0.355,,84.61,88.05
475,SHP0368,368,35,0,0,-20.977,-21.53,-20.26,0.304,,83.38,85.03
476,SHP0088,88,38,0,0,5.036,4.17,5.89,0.324,,84.37,84.61
477,SHP0411,411,65,1,0,-20.905,-21.8,-19.93,0.428,,86.97,84.22
478,SHP0472,472,13,0,0,5.148,4.35,5.69,0.368,,82.41,85.38
479,SHP0291,291,43,1,0,5.022,3.8,5.98,0.454,,83.38,83.98
480,SHP0168,168,36,0,0,5.089,4.22,6.07,0.441,,85.75,85.78
481,SHP0082,82,66,0,0,-20.942,-22.01,-20.09,0.42,,86.3,86.08
482,SHP0418,418,22,0,0,-20.914,-21.66,-20.39,0.347,,84.91,85.18
483,SHP0422,422,37,1,0,-21.043,-22.02,-20.15,0.405,,83.11,83.65
484,SHP0385,385,45,0,0,-20.658,-22.11,-15.06,1.46,,86.33,85.73
485,SHP0487,487,63,0,0,-20.971,-21.84,-20.15,0.409,,86.23,86.44
486,SHP0048,48,44,0,0,-20.978,-21.75,-20.29,0.319,,84.56,84.64
487,SHP0166,166,22,0,0,-21.085,-21.84,-19.98,0.485,,83.4,82.14
488,SHP0003,3,58,0,0,4.982,3.95,5.63,0.355,,87.67,83.88
489,SHP0210,210,16,0,0,-20.909,-21.67,-20.37,0.392,,83.74,85.56
490,SHP0470,470,36,0,0,4.877,4.22,5.55,0.413,,85.7,84.28
491,SHP0233,233,19,0,0,-21.055,-21.79,-20.31,0.336,,83.83,82.63
492,SHP0299,299,17,0,0,-21.124,-21.97,-20.62,0.408,,87.01,87.12
493,SHP0295,295,35,0,0,5.014,4.12,5.78,0.357,,85.75,84.57
494,SHP0023,23,64,0,0,5.041,4.39,5.98,0.376,,85.59,83.66
495,SHP0496,496,17,0,0,-20.964,-22.08,-20.63,0.352,,85.08,88.88
496,SHP0216,216,27,0,0,4.99,4.45,5.57,0.321,,84.9,84.07
497,SHP0444,444,23,0,0,5.115,4.33,5.67,0.427,,84.56,83.91
498,SHP0085,85,31,0,0,4.965,4.12,6.0,0.406,,86.39,84.84
499,SHP0294,294,68,0,0,5.061,4.19,5.81,0.348,,85.85,85.4
500,SHP0001,1,22,0,4,-20.326,-21.77,-5.22,3.397,,85.27,66.91
