batch_id,product_name,product_type,min_temperature_c,max_temperature_c,quantity,expiry_date
B0393,Cheese,Chilled,2.0,8.0,122,2026-08-28
B0394,Fresh Paneer,Chilled,2.0,8.0,166,2026-08-24
B0395,Frozen Peas,Frozen,-25.0,-18.0,138,2026-08-21
B0396,Frozen Corn,Frozen,-25.0,-18.0,233,2026-08-30
B0397,Frozen Peas,Frozen,-25.0,-18.0,223,2026-08-29
B0398,Yogurt,Chilled,2.0,8.0,168,2026-08-05
B0399,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,74,2026-08-14
B0400,Cheese,Chilled,2.0,8.0,298,2026-08-20
B0401,Yogurt,Chilled,2.0,8.0,278,2026-08-18
B0402,Yogurt,Chilled,2.0,8.0,77,2026-08-14
B0403,Frozen French Fries,Frozen,-25.0,-18.0,151,2026-08-26
B0404,Frozen Peas,Frozen,-25.0,-18.0,192,2026-08-29
B0405,Fresh Cream,Chilled,2.0,8.0,118,2026-08-09
B0406,Cheese,Chilled,2.0,8.0,283,2026-08-14
B0407,Frozen French Fries,Frozen,-25.0,-18.0,68,2026-08-09
B0408,Frozen French Fries,Frozen,-25.0,-18.0,185,2026-08-11
B0409,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,216,2026-08-11
B0410,Fresh Paneer,Chilled,2.0,8.0,188,2026-08-13
B0411,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,204,2026-08-26
B0412,Frozen Peas,Frozen,-25.0,-18.0,80,2026-08-18
B0413,Yogurt,Chilled,2.0,8.0,227,2026-08-25
B0414,Fresh Milk,Chilled,2.0,8.0,171,2026-08-15
B0415,Frozen Corn,Frozen,-25.0,-18.0,88,2026-08-19
B0416,Frozen French Fries,Frozen,-25.0,-18.0,211,2026-08-17
B0417,Fresh Cream,Chilled,2.0,8.0,131,2026-08-28
B0418,Frozen Paneer,Frozen,-25.0,-18.0,61,2026-08-20
B0419,Fresh Cream,Chilled,2.0,8.0,205,2026-08-06
B0420,Frozen Peas,Frozen,-25.0,-18.0,300,2026-08-20
B0421,Frozen Paneer,Frozen,-25.0,-18.0,294,2026-08-08
B0422,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,286,2026-08-18
B0423,Frozen Corn,Frozen,-25.0,-18.0,270,2026-08-06
B0424,Fresh Milk,Chilled,2.0,8.0,252,2026-08-08
B0425,Cheese,Chilled,2.0,8.0,49,2026-08-21
B0426,Fresh Paneer,Chilled,2.0,8.0,31,2026-08-16
B0427,Fresh Milk,Chilled,2.0,8.0,131,2026-08-22
B0428,Frozen Peas,Frozen,-25.0,-18.0,236,2026-08-15
B0429,Frozen Paneer,Frozen,-25.0,-18.0,50,2026-08-06
B0430,Fresh Milk,Chilled,2.0,8.0,166,2026-08-17
B0431,Frozen Corn,Frozen,-25.0,-18.0,235,2026-08-15
B0432,Cheese,Chilled,2.0,8.0,213,2026-08-16
B0433,Frozen Paneer,Frozen,-25.0,-18.0,88,2026-08-24
B0434,Fresh Milk,Chilled,2.0,8.0,111,2026-08-21
B0435,Fresh Cream,Chilled,2.0,8.0,85,2026-08-27
B0436,Frozen Peas,Frozen,-25.0,-18.0,31,2026-08-13
B0437,Fresh Cream,Chilled,2.0,8.0,237,2026-08-21
B0438,Yogurt,Chilled,2.0,8.0,146,2026-08-18
B0439,Yogurt,Chilled,2.0,8.0,161,2026-08-10
B0440,Frozen Peas,Frozen,-25.0,-18.0,234,2026-08-23
B0441,Frozen Corn,Frozen,-25.0,-18.0,125,2026-08-06
B0442,Frozen Paneer,Frozen,-25.0,-18.0,37,2026-08-18
B0443,Frozen Corn,Frozen,-25.0,-18.0,42,2026-08-16
B0444,Yogurt,Chilled,2.0,8.0,296,2026-08-10
B0445,Frozen Corn,Frozen,-25.0,-18.0,277,2026-08-13
B0446,Frozen Paneer,Frozen,-25.0,-18.0,183,2026-08-22
B0447,Yogurt,Chilled,2.0,8.0,174,2026-08-08
B0448,Frozen French Fries,Frozen,-25.0,-18.0,173,2026-08-12
B0449,Frozen Paneer,Frozen,-25.0,-18.0,109,2026-08-24
B0450,Fresh Cream,Chilled,2.0,8.0,273,2026-08-05
B0451,Cheese,Chilled,2.0,8.0,288,2026-08-14
B0452,Cheese,Chilled,2.0,8.0,96,2026-08-13
B0453,Yogurt,Chilled,2.0,8.0,295,2026-08-19
B0454,Frozen Corn,Frozen,-25.0,-18.0,173,2026-08-31
B0455,Frozen French Fries,Frozen,-25.0,-18.0,49,2026-08-21
B0456,Cheese,Chilled,2.0,8.0,291,2026-08-08
B0457,Yogurt,Chilled,2.0,8.0,150,2026-08-10
B0458,Fresh Milk,Chilled,2.0,8.0,250,2026-08-31
B0459,Fresh Milk,Chilled,2.0,8.0,294,2026-08-27
B0460,Frozen Peas,Frozen,-25.0,-18.0,157,2026-08-16
B0461,Frozen Peas,Frozen,-25.0,-18.0,116,2026-08-29
B0462,Frozen French Fries,Frozen,-25.0,-18.0,126,2026-08-31
B0463,Fresh Paneer,Chilled,2.0,8.0,27,2026-08-10
B0464,Frozen Peas,Frozen,-25.0,-18.0,265,2026-08-11
B0465,Frozen French Fries,Frozen,-25.0,-18.0,142,2026-08-21
B0466,Fresh Paneer,Chilled,2.0,8.0,214,2026-08-18
B0467,Fresh Paneer,Chilled,2.0,8.0,153,2026-08-15
B0468,Cheese,Chilled,2.0,8.0,70,2026-08-29
B0469,Fresh Paneer,Chilled,2.0,8.0,124,2026-08-15
B0470,Cheese,Chilled,2.0,8.0,43,2026-08-22
B0471,Frozen Corn,Frozen,-25.0,-18.0,28,2026-08-12
B0472,Fresh Paneer,Chilled,2.0,8.0,98,2026-08-10
B0473,Yogurt,Chilled,2.0,8.0,214,2026-08-22
B0474,Frozen French Fries,Frozen,-25.0,-18.0,192,2026-08-12
B0475,Cheese,Chilled,2.0,8.0,255,2026-08-09
B0476,Yogurt,Chilled,2.0,8.0,91,2026-08-27
B0477,Yogurt,Chilled,2.0,8.0,297,2026-08-24
B0478,Frozen Paneer,Frozen,-25.0,-18.0,37,2026-08-30
B0479,Frozen Peas,Frozen,-25.0,-18.0,23,2026-08-17
B0480,Frozen Corn,Frozen,-25.0,-18.0,54,2026-08-26
B0481,Frozen Peas,Frozen,-25.0,-18.0,131,2026-08-20
B0482,Fresh Paneer,Chilled,2.0,8.0,50,2026-08-23
B0483,Cheese,Chilled,2.0,8.0,28,2026-08-04
B0484,Fresh Milk,Chilled,2.0,8.0,28,2026-08-20
B0485,Fresh Cream,Chilled,2.0,8.0,166,2026-08-04
B0486,Yogurt,Chilled,2.0,8.0,74,2026-08-07
B0487,Frozen Corn,Frozen,-25.0,-18.0,118,2026-08-23
B0488,Fresh Paneer,Chilled,2.0,8.0,156,2026-08-29
B0489,Fresh Milk,Chilled,2.0,8.0,211,2026-08-16
B0490,Fresh Cream,Chilled,2.0,8.0,144,2026-08-26
B0491,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,61,2026-08-24
B0492,Frozen Peas,Frozen,-25.0,-18.0,227,2026-08-16
B0493,Fresh Cream,Chilled,2.0,8.0,263,2026-08-05
B0494,Frozen Corn,Frozen,-25.0,-18.0,62,2026-08-19
B0495,Fresh Paneer,Chilled,2.0,8.0,68,2026-08-20
B0496,Frozen Corn,Frozen,-25.0,-18.0,128,2026-08-31
B0497,Fresh Paneer,Chilled,2.0,8.0,43,2026-08-06
B0498,Fresh Cream,Chilled,2.0,8.0,36,2026-08-09
B0499,Fresh Milk,Chilled,2.0,8.0,126,2026-08-22
B0500,Frozen French Fries,Frozen,-25.0,-18.0,59,2026-08-13
